state,indicator_id,field,expected,got,match,pdf_url
Arunachal Pradesh,revenue_receipts,be,,34544.06,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_receipts,actuals,,1956.82,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_receipts,pct_current,,5.66,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_receipts,pct_prev,,5.34,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,tax_revenue,be,28387.99,28387.99,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,tax_revenue,actuals,1823.86,1823.86,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,tax_revenue,pct_current,6.42,6.42,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,tax_revenue,pct_prev,6.22,6.22,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sgst,be,667.58,667.58,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sgst,actuals,310.52,310.52,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sgst,pct_current,46.51,46.51,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sgst,pct_prev,35.53,35.53,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,stamps_registration,be,18.39,18.39,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,stamps_registration,actuals,2.7,2.7,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,stamps_registration,pct_current,14.68,14.68,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,stamps_registration,pct_prev,7.13,7.13,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,land_revenue,be,31.56,31.56,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,land_revenue,actuals,0.77,0.77,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,land_revenue,pct_current,2.44,2.44,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,land_revenue,pct_prev,1.49,1.49,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sales_tax,be,672.85,672.85,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sales_tax,actuals,42.8,42.8,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sales_tax,pct_current,6.36,6.36,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,sales_tax,pct_prev,0.01,0.01,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,state_excise,be,406.06,406.06,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,state_excise,actuals,23.63,23.63,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,state_excise,pct_current,5.82,5.82,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,state_excise,pct_prev,16.74,16.74,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,union_taxes_share,be,,26504.03,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,union_taxes_share,actuals,,1436.09,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,union_taxes_share,pct_current,,5.42,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,union_taxes_share,pct_prev,,5.34,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,other_taxes,be,87.52,87.52,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,other_taxes,actuals,7.35,7.35,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,other_taxes,pct_current,8.4,8.4,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,other_taxes,pct_prev,13.07,13.07,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,non_tax_revenue,be,,1212.07,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,non_tax_revenue,actuals,,132.96,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,non_tax_revenue,pct_current,,10.97,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,non_tax_revenue,pct_prev,,11.32,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,grants_in_aid,be,4944.0,4944.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,grants_in_aid,actuals,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,grants_in_aid,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,grants_in_aid,pct_prev,0.6,0.6,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_receipts,be,,4264.66,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_receipts,actuals,,-678.78,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_receipts,pct_current,,-15.92,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_receipts,pct_prev,,-18.21,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,recovery_loans,be,10.0,10.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,recovery_loans,actuals,0.47,0.47,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,recovery_loans,pct_current,4.7,4.7,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,recovery_loans,pct_prev,4.6,4.6,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,borrowings,be,4254.66,4254.66,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,borrowings,actuals,-679.25,-679.25,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,borrowings,pct_current,-15.96,-15.96,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,borrowings,pct_prev,-18.29,-18.29,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_receipts,be,,38808.72,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_receipts,actuals,,1278.04,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_receipts,pct_current,,3.29,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_receipts,pct_prev,,3.28,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,be,,29963.33,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,actuals,,1277.37,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,pct_current,,4.26,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,pct_prev,,4.16,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
