state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Arunachal Pradesh,Special,2021-22,2021,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-21.58,-21.58,-50.3,3.0,-53.3,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2021-06139c20fa117f8-41195129.pdf,2026-03-01T10:05:43.314846
Arunachal Pradesh,Special,2021-22,2021,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-69.66,-48.08,-113.76,3.0,-116.76,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2021-0613edb6c2a5ff2-91965297.pdf,2026-03-01T10:05:45.413782
Arunachal Pradesh,Special,2021-22,2021,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-113.93,-44.27000000000001,-104.67,3.0,-107.67,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2021-061654e4041a157-52373719.pdf,2026-03-01T10:05:47.399312
Arunachal Pradesh,Special,2021-22,2021,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-96.26,17.67,-118.26,3.0,-121.26,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2021-061654e72728920-40036895.pdf,2026-03-01T10:05:49.363162
Arunachal Pradesh,Special,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-96.3,-0.03999999999999204,151.36,3.0,148.36,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2021-061825fd274fab3-55625101.pdf,2026-03-01T10:05:51.371084
Arunachal Pradesh,Special,2021-22,2021,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,-104.29,-7.990000000000009,-162.14,3.0,-165.14,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Sept-2021-0619f63cd044a51-18996631.pdf,2026-03-01T10:05:53.426529
Arunachal Pradesh,Special,2021-22,2021,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-96.45,7.840000000000003,-105.78,3.0,-108.78,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2021-061b33bf28f67c9-90036253.pdf,2026-03-01T10:05:55.409599
Arunachal Pradesh,Special,2021-22,2021,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-193.25,-96.8,-95.95,3.0,-98.95,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-November-2021-061d81ae54b7b76-74104756.pdf,2026-03-01T10:05:57.410508
Arunachal Pradesh,Special,2021-22,2021,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,-171.06,22.189999999999998,-10.66,3.0,-13.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-December-2021-062024f0967b405-57090155.pdf,2026-03-01T10:05:59.479719
Arunachal Pradesh,Special,2021-22,2022,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-203.65,-32.59,-77.82,3.0,-80.82,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-2022-0621f1c719af1a7-70018041.pdf,2026-03-01T10:06:01.486449
Arunachal Pradesh,Special,2021-22,2022,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-369.24,-165.59,98.05,3.0,95.05,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2022-0625e8ff84f6a92-46657189.pdf,2026-03-01T10:06:03.808362
Arunachal Pradesh,Special,2022-23,2022,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-28.66,-28.66,-24.82,3.0,-27.82,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2022-062d4f6f3705480-55686757.pdf,2026-03-01T10:05:13.158813
Arunachal Pradesh,Special,2022-23,2022,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,5.0,33.66,-69.66,3.0,-72.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2022-062d4f7212f3351-41829040.pdf,2026-03-01T10:05:15.388549
Arunachal Pradesh,Special,2022-23,2022,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-38.14,-43.14,-104.67,3.0,-107.67,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2022-062f4c69a8b7172-30927684.pdf,2026-03-01T10:05:17.777076
Arunachal Pradesh,Special,2022-23,2022,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,34.34,72.48,-96.26,3.0,-99.26,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JULY-2022-063245111e78dc1-03950019.pdf,2026-03-01T10:05:19.949777
Arunachal Pradesh,Special,2022-23,2022,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,-99.51,-133.85000000000002,-96.3,3.0,-99.3,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2022-06351338acfd3e3-51501665.pdf,2026-03-01T10:05:22.318167
Arunachal Pradesh,Special,2022-23,2022,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-171.7,-72.18999999999998,-104.29,3.0,-107.29,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2022-0637c929d35e0c6-07052942.pdf,2026-03-01T10:05:24.697078
Arunachal Pradesh,Special,2022-23,2022,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-228.42,-56.72,-96.45,3.0,-99.45,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2022-0639703ef27be44-99524114.pdf,2026-03-01T10:05:27.363439
Arunachal Pradesh,Special,2022-23,2022,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-324.23,-95.81000000000003,-193.25,3.0,-196.25,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2022-063b3f3ed454bd2-54385913.pdf,2026-03-01T10:05:29.748061
Arunachal Pradesh,Special,2022-23,2022,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-246.69,77.54000000000002,-171.06,3.0,-174.06,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2022-063e336ad5b1ec0-39426942.pdf,2026-03-01T10:05:32.052254
Arunachal Pradesh,Special,2022-23,2023,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-255.53,-8.840000000000003,-203.65,3.0,-206.65,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2023-06405bc9c454453-69643799.pdf,2026-03-01T10:05:34.227760
Arunachal Pradesh,Special,2022-23,2023,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-389.39,-133.85999999999999,-369.24,3.0,-372.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2023-0643cdeba5e3383-58732167.pdf,2026-03-01T10:05:36.515808
Arunachal Pradesh,Special,2023-24,2023,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-22.24,-22.24,-28.66,3.0,-31.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2023-064c1fe38410448-37610354.pdf,2026-03-01T10:04:40.011877
Arunachal Pradesh,Special,2023-24,2023,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-31.97,-9.73,5.0,3.0,2.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2023-064eed3efb39358-34472078.pdf,2026-03-01T10:04:42.476867
Arunachal Pradesh,Special,2023-24,2023,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,-84.1,-52.129999999999995,-38.14,3.0,-41.14,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2023-0651f9782065ee0-91139373.pdf,2026-03-01T10:04:44.850723
Arunachal Pradesh,Special,2023-24,2023,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-125.96,-41.86,34.34,3.0,31.34,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2023-0653220145c3d62-68053344.pdf,2026-03-01T10:04:47.361601
Arunachal Pradesh,Special,2023-24,2023,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,-113.0,12.959999999999994,-96.3,3.0,-99.3,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2023-06551f5c62b0816-05048191.pdf,2026-03-01T10:04:49.694902
Arunachal Pradesh,Special,2023-24,2023,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-97.14,15.86,-171.7,3.0,-174.7,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2023-0656878441dad48-89209816.pdf,2026-03-01T10:04:51.857300
Arunachal Pradesh,Special,2023-24,2023,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-93.69,3.450000000000003,-228.42,3.0,-231.42,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2023-0659bd8aaa6f442-35325399.pdf,2026-03-01T10:04:54.225796
Arunachal Pradesh,Special,2023-24,2023,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,-73.61,20.08,-324.23,3.0,-327.23,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-NOvember-2023-065b9f87b4324b7-99785634.pdf,2026-03-01T10:04:56.697915
Arunachal Pradesh,Special,2023-24,2023,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-91.79,-18.180000000000007,-246.69,3.0,-249.69,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEcember-2023-065d47683ca69a0-09974044.pdf,2026-03-01T10:05:00.447494
Arunachal Pradesh,Special,2023-24,2024,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-92.55,-0.7599999999999909,-255.53,3.0,-258.53,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2024-06615054bbf68f8-04870622.pdf,2026-03-01T10:05:02.724934
Arunachal Pradesh,Special,2023-24,2024,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-150.83,-58.280000000000015,-389.39,3.0,-392.39,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2024-0663879e240f4e2-55657937.pdf,2026-03-01T10:05:05.553878
Arunachal Pradesh,Special,2024-25,2024,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-18.29,-18.29,-22.24,3.0,-25.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2024-066b4b1f004cee5-30040491.pdf,2026-03-01T10:04:10.237874
Arunachal Pradesh,Special,2024-25,2024,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-38.43,-20.14,-31.97,3.0,-34.97,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2024-066dea46e325135-19182341.pdf,2026-03-01T10:04:12.529528
Arunachal Pradesh,Special,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-77.7,-39.27,-84.1,3.0,-87.1,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-0672b53532b6bb2-64083284.pdf,2026-03-01T10:04:14.897401
Arunachal Pradesh,Special,2024-25,2024,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-105.64,-27.939999999999998,-125.96,3.0,-128.96,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JuLY-2024-06745b5a3e71fe5-88674152.pdf,2026-03-01T10:04:17.079921
Arunachal Pradesh,Special,2024-25,2024,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-105.64,0.0,-113.0,3.0,-116.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-0675ac535d234a8-24695526.pdf,2026-03-01T10:04:19.301328
Arunachal Pradesh,Special,2024-25,2024,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-151.28,-45.64,-97.14,3.0,-100.14,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2024-0676a43a14bd836-16054373.pdf,2026-03-01T10:04:21.490232
Arunachal Pradesh,Special,2024-25,2024,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-206.55,-55.27000000000001,-93.69,3.0,-96.69,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2024-06792279cb552f6-18709751.pdf,2026-03-01T10:04:23.732425
Arunachal Pradesh,Special,2024-25,2024,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-203.72,2.8300000000000125,-73.61,3.0,-76.61,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2024-067a4a30ec83a21-78224846.pdf,2026-03-01T10:04:25.953372
Arunachal Pradesh,Special,2024-25,2024,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-190.37,13.349999999999994,-91.79,3.0,-94.79,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2024-067c97b21329086-19110950.pdf,2026-03-01T10:04:28.093759
Arunachal Pradesh,Special,2024-25,2025,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,-255.22,-64.85,-92.55,3.0,-95.55,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-067e13987a83531-20289474.pdf,2026-03-01T10:04:30.239587
Arunachal Pradesh,Special,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,-228.25,26.97,-150.83,3.0,-153.83,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-0680b626656c8f2-63927347.pdf,2026-03-01T10:04:32.414688
Arunachal Pradesh,Special,2025-26,2025,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-15.96,-15.96,-18.29,3.0,-21.29,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf,2026-03-01T10:03:29.614169
Arunachal Pradesh,Special,2025-26,2025,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-35.94,-19.979999999999997,-38.43,3.0,-41.43,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-0687787af2f9937-35246666.pdf,2026-03-01T10:03:31.764679
Arunachal Pradesh,Special,2025-26,2025,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-79.24,-43.3,-77.7,3.0,-80.7,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2025-0689994cdb2be51-75879270.pdf,2026-03-01T10:03:33.988055
Arunachal Pradesh,Special,2025-26,2025,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-99.77,-20.53,-105.64,3.0,-108.64,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068c93a140d6c62-55109659.pdf,2026-03-01T10:03:36.346929
Arunachal Pradesh,Special,2025-26,2025,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-113.42,-13.650000000000006,-105.64,3.0,-108.64,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-068ff52b474a1e0-96611192.pdf,2026-03-01T10:03:38.712328
Arunachal Pradesh,Special,2025-26,2025,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,-174.7,-61.27999999999999,-206.55,3.0,-209.55,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-0696dfe40408c82-78105110.pdf,2026-03-01T10:04:03.490457
Arunachal Pradesh,Special,2025-26,2025,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,-177.42,-2.719999999999999,-203.72,3.0,-206.72,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0697851eae81e90-31319269.pdf,2026-03-01T10:04:05.772052
Arunachal Pradesh,Special,2025-26,2025,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-177.12,0.29999999999998295,-190.37,3.0,-193.37,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2025-0698d75fa672a92-97130541.pdf,2026-03-01T10:04:07.911108
Arunachal Pradesh,Special,2021-22,2021,4,April,1,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2021-06139c20fa117f8-41195129.pdf,2026-03-01T10:05:43.314846
