state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Assam,Special,2021-22,2021,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,0.0,0.0,3.58,3.0,0.58,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April21-0615407d1091e51-19564339.pdf,2026-03-01T10:07:46.436604
Assam,Special,2021-22,2021,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,0.0,0.0,7.03,3.0,4.03,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAY-2021-0616fbe08291175-63544896.pdf,2026-03-01T10:07:48.541165
Assam,Special,2021-22,2021,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,7.63,7.63,9.09,3.0,6.09,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JUNE-2021-06196395d2973b8-54364101.pdf,2026-03-01T10:07:50.668910
Assam,Special,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,1.56,-6.07,4.54,3.0,1.54,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July21-061a8a70f487491-13724222.pdf,2026-03-01T10:07:52.695732
Assam,Special,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,6.6,5.039999999999999,4.54,3.0,1.54,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August21-061bb25e0accbf2-10844557.pdf,2026-03-01T10:07:54.766110
Assam,Special,2021-22,2021,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,19.73,13.13,2.23,3.0,-0.77,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKISep21-061d5360ea62379-55813627.pdf,2026-03-01T10:07:56.828747
Assam,Special,2021-22,2021,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,22.69,2.960000000000001,3.58,3.0,0.58,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct21-06200d855d2db46-07957735.pdf,2026-03-01T10:07:58.928538
Assam,Special,2021-22,2021,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,11.39,-11.3,11.23,3.0,8.23,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-21-06213844e87a8c8-65218034.pdf,2026-03-01T10:08:01.139514
Assam,Special,2021-22,2021,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,25.2,13.809999999999999,12.76,3.0,9.76,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC21-0622edcd4e91208-74453249.pdf,2026-03-01T10:08:03.281254
Assam,Special,2021-22,2022,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,34.25,9.05,26.01,3.0,23.01,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JAN-2022-0624d86d7143095-75771309.pdf,2026-03-01T10:08:06.004331
