state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Bihar,Large,2021-22,2021,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,3179.28,3179.28,14.12,57.75,-43.63,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2021-060ebe779bff586-34666860.pdf,2026-03-01T10:10:30.717310
Bihar,Large,2021-22,2021,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,17318.09,14138.81,76.93,65.98,10.95,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2021-06135c6ca4e6de1-33495619.pdf,2026-03-01T10:10:32.950988
Bihar,Large,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,15175.18,-2142.91,67.41,96.15,-28.74,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2021-06163d0f18813b6-94332987.pdf,2026-03-01T10:10:35.227090
Bihar,Large,2021-22,2021,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,23860.89,8685.71,106.0,73.39,32.61,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2021-0617a5b0e8bd503-67263305.pdf,2026-03-01T10:10:37.507410
Bihar,Large,2021-22,2021,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,27024.84,3163.9500000000007,120.05,97.92,22.13,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-oct-061a601cf403fd7-58640064.pdf,2026-03-01T10:10:39.991969
Bihar,Large,2021-22,2021,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,29194.04,2169.2000000000007,129.69,109.8,19.89,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2021-061c443c5623751-62742703.pdf,2026-03-01T10:10:42.414127
Bihar,Large,2021-22,2021,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,33542.54,4348.5,149.01,123.35,25.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2021-061f77fd5e54f89-48437399.pdf,2026-03-01T10:10:44.652848
Bihar,Large,2021-22,2022,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,38568.99,5026.449999999997,171.34,138.52,32.82,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2022-0621dfa48e4fde7-81968318.pdf,2026-03-01T10:10:46.905495
Bihar,Large,2021-22,2022,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,50529.45,11960.46,224.47,138.7,85.77,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2022-0624588e096f848-13121285.pdf,2026-03-01T10:10:49.343095
Bihar,Large,2022-23,2022,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,4451.46,4451.46,17.2,14.12,3.08,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2022-06290bc65d013b0-09234068.pdf,2026-03-01T10:09:56.468483
