state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Chhattisgarh,Large,2021-22,2021,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,5.41,5.41,13.18,3.0,10.18,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-04-21-060b9e1ac30f078-88404946.pdf,2026-03-01T10:13:08.462094
Chhattisgarh,Large,2021-22,2021,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,9.29,3.879999999999999,28.51,3.0,25.51,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-05-21-060dda211588869-34458224.pdf,2026-03-01T10:13:11.030467
Chhattisgarh,Large,2021-22,2021,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,20.62,11.330000000000002,25.32,3.0,22.32,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-06-21-06103cb94bad6d4-33678389.pdf,2026-03-01T10:13:13.828599
Chhattisgarh,Large,2021-22,2021,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,27.56,6.939999999999998,25.32,3.0,22.32,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-07-21-0612e1343574768-73748865.pdf,2026-03-01T10:13:16.391360
Chhattisgarh,Large,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,32.72,5.16,56.83,3.0,53.83,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-08-21-061545c9e96e9a4-32657973.pdf,2026-03-01T10:13:19.053114
Chhattisgarh,Large,2021-22,2021,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,42.8,10.079999999999998,49.02,3.0,46.02,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-09-21-0617be2e99b7e57-83048659.pdf,2026-03-01T10:13:21.803410
Chhattisgarh,Large,2021-22,2021,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,57.63,14.830000000000005,76.89,3.0,73.89,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-10-21-061a726d8a376f0-46476228.pdf,2026-03-01T10:13:24.597002
Chhattisgarh,Large,2021-22,2021,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,42.58,-15.050000000000004,77.28,3.0,74.28,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-11-21-061cb0010688549-37859791.pdf,2026-03-01T10:13:27.151978
Chhattisgarh,Large,2021-22,2021,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,46.99,4.410000000000004,77.28,3.0,74.28,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-12-21-061f8b58a5cea88-51271602.pdf,2026-03-01T10:13:30.406796
Chhattisgarh,Large,2021-22,2022,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,37.65,-9.340000000000003,65.78,3.0,62.78,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-01-22-0621f62ede26930-77018499.pdf,2026-03-01T10:13:33.396541
Chhattisgarh,Large,2022-23,2022,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,14.18,,9.29,3.0,6.29,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-0522-062bd8c370810d9-53191799.pdf,2026-03-01T10:12:34.977516
Chhattisgarh,Large,2022-23,2022,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,9.77,-4.41,20.62,3.0,17.62,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-0622-062e7a3c9b4f892-07121142.pdf,2026-03-01T10:12:37.491114
Chhattisgarh,Large,2022-23,2022,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,-12.02,-21.79,27.56,3.0,24.56,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-0722-0630df40912bbd3-69945275.pdf,2026-03-01T10:12:39.934345
Chhattisgarh,Large,2022-23,2022,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,-1199.24,-1187.22,-8.21,32.72,-40.93,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-08-22-063354aa1c71688-49017693.pdf,2026-03-01T10:12:42.657946
Chhattisgarh,Large,2022-23,2022,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,2241.86,3441.1000000000004,15.36,42.8,-27.44,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-09-22-0635b7ceb4e55b5-81849520.pdf,2026-03-01T10:12:46.784115
Chhattisgarh,Large,2022-23,2022,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,4262.08,2020.2199999999998,29.19,57.63,-28.44,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-10-22-063873fc7eba152-38865086.pdf,2026-03-01T10:12:49.175399
Chhattisgarh,Large,2022-23,2022,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,2878.48,-1383.6,19.72,42.58,-22.86,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-11-22-063ac1450073383-37146471.pdf,2026-03-01T10:12:51.515417
