state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Jharkhand,Large,2024-25,2024,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,1.41,,-1.47,3.0,-4.47,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2024-066752b9eaa06e0-23496498.pdf,2026-03-01T10:20:29.551667
Jharkhand,Large,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,9.0,-3.3,-4.71,-2.5,3.0,-5.5,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-06696166aecbbf1-66629708.pdf,2026-03-01T10:20:32.483950
Jharkhand,Large,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-4.64,-1.3399999999999999,-4.59,3.0,-7.59,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Revised-July-2024-066bb1600aa75d7-29832786.pdf,2026-03-01T10:20:34.796109
Jharkhand,Large,2024-25,2024,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,0.0,4.64,-9.66,3.0,-12.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-0679227b0ced346-60490825.pdf,2026-03-01T10:20:37.297075
Jharkhand,Large,2024-25,2024,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-1.35,-1.35,-10.77,3.0,-13.77,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2024-0679227dd1d14e5-54005392.pdf,2026-03-01T10:20:40.296750
Jharkhand,Large,2024-25,2024,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,0.0,6.48,7.83,3.23,3.0,0.23,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2024-0679227fbb5bfc4-34514637.pdf,2026-03-01T10:20:43.405464
Jharkhand,Large,2024-25,2024,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,4.27,-2.210000000000001,2.52,3.0,-0.48,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2024-06792281e2cd585-93825464.pdf,2026-03-01T10:20:45.972860
Jharkhand,Large,2024-25,2024,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,5.0,-3.59,-7.859999999999999,3.28,3.0,0.28,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2024-06792283a18c5b5-19284061.pdf,2026-03-01T10:20:48.528463
Jharkhand,Large,2024-25,2025,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,-34.0,-30.41,2.68,3.0,-0.32,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-067b6e064e09037-42463412.pdf,2026-03-01T10:20:51.305514
Jharkhand,Large,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-067ed1fbf5f6109-45845812.pdf,2026-03-01T10:20:54.128785
Jharkhand,Large,2025-26,2025,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0682dbc727c4916-76163651.pdf,2026-03-01T10:20:01.122968
Jharkhand,Large,2025-26,2025,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-068514f1614e529-82777367.pdf,2026-03-01T10:20:04.003907
Jharkhand,Large,2025-26,2025,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2025-0687788f9eb2dc1-14483071.pdf,2026-03-01T10:20:06.736712
Jharkhand,Large,2025-26,2025,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068a460204423b4-26259357.pdf,2026-03-01T10:20:09.425121
Jharkhand,Large,2025-26,2025,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,0.52,,0.0,3.0,-3.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-068caa68c052762-28196272.pdf,2026-03-01T10:20:12.299885
Jharkhand,Large,2025-26,2025,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,10.91,10.39,-1.35,3.0,-4.35,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-068f0dd8f0431b1-93003332.pdf,2026-03-01T10:20:15.205130
Jharkhand,Large,2025-26,2025,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0691d9732717929-05660127.pdf,2026-03-01T10:20:17.850954
Jharkhand,Large,2025-26,2025,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,-27.91,,4.27,3.0,1.27,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-069414b5c90d3e4-67708710.pdf,2026-03-01T10:20:20.457563
Jharkhand,Large,2025-26,2025,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December2025-0696f755b429c49-38363790.pdf,2026-03-01T10:20:22.949794
Jharkhand,Large,2025-26,2026,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-06994269849fb96-46532601.pdf,2026-03-01T10:20:26.374533
Jharkhand,Large,2024-25,2024,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,5.0,809.68,,3.38,5.5,-2.12,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2024-066752b9eaa06e0-23496498.pdf,2026-03-01T10:20:29.551667
