state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Maharashtra,Large,2024-25,2024,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-9841.26,-9841.26,-9.91,-8.54,-1.37,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-April-2024-ENGLISH-0665712cb4f9527-27948981.pdf,2026-03-01T10:26:03.407863
Maharashtra,Large,2024-25,2024,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-13638.39,-3797.129999999999,-13.74,-15.98,2.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-MAY-2024-ENGLISH-0667aa02506fe86-62627453.pdf,2026-03-01T10:26:06.066028
Maharashtra,Large,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,6.0,-29696.66,-16058.27,-29.91,-14.72,-15.19,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-June-2024-066a0c33b569819-48789684.pdf,2026-03-01T10:26:08.714645
Maharashtra,Large,2024-25,2024,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-30012.11,-315.4500000000007,-13.1,-13.66,0.56,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-JULY-2024-ENGLISH-066c8c442f0c9e3-66846357.pdf,2026-03-01T10:26:11.313930
Maharashtra,Large,2024-25,2024,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,-17183.64,12828.47,-8.37,-6.49,-1.88,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-August-2024-ENGLISH-066f3e2455a2233-93333361.pdf,2026-03-01T10:26:13.883531
Maharashtra,Large,2024-25,2024,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,-2865.82,14317.82,-1.4,-2.56,1.16,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-September-2024-English-0671947d5968077-12247137.pdf,2026-03-01T10:26:16.434298
Maharashtra,Large,2024-25,2024,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,20531.99,23397.81,10.0,2.68,7.32,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-October-2024-English-06746fd91f0fa23-64227522.pdf,2026-03-01T10:26:19.463786
Maharashtra,Large,2024-25,2024,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,6485.91,-14046.080000000002,3.16,4.72,-1.56,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-November-2024-English-0676945854370a5-47361165.pdf,2026-03-01T10:26:21.944614
Maharashtra,Large,2024-25,2024,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,12117.85,5631.9400000000005,5.07,2.59,2.48,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-December-2024-English-0679223f5286541-54432298.pdf,2026-03-01T10:26:25.106758
Maharashtra,Large,2024-25,2025,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,15178.74,3060.8899999999994,6.35,5.23,1.12,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-January-2025-English-067bc3c3395da50-65033996.pdf,2026-03-01T10:26:27.603968
Maharashtra,Large,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,8.0,24677.41,9498.67,10.32,4.17,6.15,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-February-2025-English-067e13b5bae24a9-45228961.pdf,2026-03-01T10:26:30.656334
Maharashtra,Large,2024-25,2025,3,March,12,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,122010.32,97332.91,49.16,44.31,4.85,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-March-2025-ENGLISH-06824757db2e6f8-91811674.pdf,2026-03-01T10:26:33.267427
Maharashtra,Large,2025-26,2025,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-7353.05,-7353.05,-5.4,-9.91,4.51,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-April-2025-English-0683053a4c37293-58685098.pdf,2026-03-01T10:25:36.355466
Maharashtra,Large,2025-26,2025,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-7223.57,129.48000000000047,-5.3,-13.74,8.44,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-May-2025-ENGLISH-0685a90e08adb86-96979885.pdf,2026-03-01T10:25:39.129600
Maharashtra,Large,2025-26,2025,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,-14325.26,-7101.6900000000005,-10.52,-29.91,19.39,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-June-2025-ENGLISH-06880c1343b52c2-08090740.pdf,2026-03-01T10:25:42.122711
Maharashtra,Large,2025-26,2025,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-12109.64,2215.620000000001,-6.25,-13.1,6.85,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-July-2025-English-068ad95c4de3440-20189014.pdf,2026-03-01T10:25:44.580612
Maharashtra,Large,2025-26,2025,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,3111.02,15220.66,1.61,-8.37,9.98,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-August-2025-English-068d394a24af2d4-84910119.pdf,2026-03-01T10:25:47.224200
Maharashtra,Large,2025-26,2025,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,10262.96,7151.939999999999,5.3,-1.4,6.7,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-September-2025-English-068f8767a0fa665-57664809.pdf,2026-03-01T10:25:49.808312
Maharashtra,Large,2025-26,2025,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,23624.12,13361.16,12.19,10.0,2.19,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-October-2025-English-069258062494a06-03153655.pdf,2026-03-01T10:25:52.419463
Maharashtra,Large,2025-26,2025,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,31303.45,7679.330000000002,16.16,3.16,13.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-November-2025-English-0694a5ca19d5042-60912635.pdf,2026-03-01T10:25:54.897936
Maharashtra,Large,2025-26,2025,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,40056.28,8752.829999999998,14.89,5.07,9.82,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-December-2025-English-06978a3f5721779-97676930.pdf,2026-03-01T10:25:57.505859
Maharashtra,Large,2025-26,2026,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,1.0,38228.2,-1828.0800000000015,14.21,6.35,7.86,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-January-2026-English-0699d86d19f9716-05703905.pdf,2026-03-01T10:25:59.924220
Maharashtra,Large,2024-25,2024,4,April,1,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-April-2024-ENGLISH-0665712cb4f9527-27948981.pdf,2026-03-01T10:26:03.407863
Maharashtra,Large,2024-25,2024,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-MAY-2024-ENGLISH-0667aa02506fe86-62627453.pdf,2026-03-01T10:26:06.066028
Maharashtra,Large,2024-25,2024,6,June,3,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-June-2024-066a0c33b569819-48789684.pdf,2026-03-01T10:26:08.714645
Maharashtra,Large,2024-25,2024,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-JULY-2024-ENGLISH-066c8c442f0c9e3-66846357.pdf,2026-03-01T10:26:11.313930
Maharashtra,Large,2024-25,2024,8,August,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-August-2024-ENGLISH-066f3e2455a2233-93333361.pdf,2026-03-01T10:26:13.883531
Maharashtra,Large,2024-25,2024,9,September,6,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-September-2024-English-0671947d5968077-12247137.pdf,2026-03-01T10:26:16.434298
Maharashtra,Large,2024-25,2024,10,October,7,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-October-2024-English-06746fd91f0fa23-64227522.pdf,2026-03-01T10:26:19.463786
Maharashtra,Large,2024-25,2024,11,November,8,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-November-2024-English-0676945854370a5-47361165.pdf,2026-03-01T10:26:21.944614
Maharashtra,Large,2024-25,2024,12,December,9,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-December-2024-English-0679223f5286541-54432298.pdf,2026-03-01T10:26:25.106758
Maharashtra,Large,2024-25,2025,1,January,10,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-January-2025-English-067bc3c3395da50-65033996.pdf,2026-03-01T10:26:27.603968
Maharashtra,Large,2024-25,2025,2,February,11,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-February-2025-English-067e13b5bae24a9-45228961.pdf,2026-03-01T10:26:30.656334
Maharashtra,Large,2024-25,2025,3,March,12,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-March-2025-ENGLISH-06824757db2e6f8-91811674.pdf,2026-03-01T10:26:33.267427
Maharashtra,Large,2025-26,2025,4,April,1,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-April-2025-English-0683053a4c37293-58685098.pdf,2026-03-01T10:25:36.355466
Maharashtra,Large,2025-26,2025,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-May-2025-ENGLISH-0685a90e08adb86-96979885.pdf,2026-03-01T10:25:39.129600
Maharashtra,Large,2025-26,2025,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-June-2025-ENGLISH-06880c1343b52c2-08090740.pdf,2026-03-01T10:25:42.122711
Maharashtra,Large,2025-26,2025,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-July-2025-English-068ad95c4de3440-20189014.pdf,2026-03-01T10:25:44.580612
Maharashtra,Large,2025-26,2025,8,August,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAH-August-2025-English-068d394a24af2d4-84910119.pdf,2026-03-01T10:25:47.224200
