state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Rajasthan,Large,2021-22,2021,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,7389.6,7389.6,15.35,14.53,0.82,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2021-Revised-format-060b359260677d4-90690403.pdf,2026-03-01T10:42:03.551960
Rajasthan,Large,2021-22,2021,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,8483.32,1093.7199999999993,17.62,35.25,-17.63,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2021-Revised-format-060dc4ed1160de1-90817038.pdf,2026-03-01T10:42:06.085201
Rajasthan,Large,2021-22,2021,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,14567.76,6084.4400000000005,30.25,53.25,-23.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2021-Revised-format-060ffed88ea27a1-77600241.pdf,2026-03-01T10:42:08.749889
Rajasthan,Large,2021-22,2021,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,18481.76,3913.999999999998,38.38,59.5,-21.12,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2021-Revised-format-0612bb52deeeb62-63242159.pdf,2026-03-01T10:42:11.798062
Rajasthan,Large,2021-22,2021,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,22103.62,3621.8600000000006,45.9,77.14,-31.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2021-Revised-format-docx-0615301d6dd0455-75990477.pdf,2026-03-01T10:42:14.936603
Rajasthan,Large,2021-22,2021,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,28454.72,6351.100000000002,59.09,53.43,5.66,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2021-Revised-format-0617a3096e76c22-74551527.pdf,2026-03-01T10:42:17.488835
Rajasthan,Large,2021-22,2021,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,32209.31,3754.59,66.89,97.92,-31.03,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2021-Revised-format-061a4c47ad30615-78075503.pdf,2026-03-01T10:42:20.068247
Rajasthan,Large,2021-22,2021,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,31225.89,-983.4200000000019,64.85,108.4,-43.55,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2021-Revised-format-061c9a4be797bc4-53502234.pdf,2026-03-01T10:42:24.370742
Rajasthan,Large,2021-22,2021,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,37695.7,6469.809999999998,78.28,118.48,-40.2,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2021-Revised-format-061f3d048e97e75-47998481.pdf,2026-03-01T10:42:27.531611
Rajasthan,Large,2021-22,2022,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,7.0,36569.66,-1126.0399999999936,75.95,131.79,-55.84,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2022-Revised-format-0621dedd80893a7-13839834.pdf,2026-03-01T10:42:31.045146
