state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Telangana,Large,2024-25,2024,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2024-06659570dd0c7d3-95592618.pdf,2026-03-01T10:46:45.275887
Telangana,Large,2024-25,2024,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAY-2024-0667e6af0de2329-17528531.pdf,2026-03-01T10:46:47.906555
Telangana,Large,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JUNE-2024-066a9e0512da173-89919923.pdf,2026-03-01T10:46:50.831062
Telangana,Large,2024-25,2024,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JULY-2024-SD-Copy-066d58315540a99-78786475.pdf,2026-03-01T10:46:53.803866
Telangana,Large,2024-25,2024,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-AUGUST-2024-066f64597219e68-18388271.pdf,2026-03-01T10:46:56.577678
Telangana,Large,2024-25,2024,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEPTEMBER-2024-Sd-pdf-06718cb376126a4-13042018.pdf,2026-03-01T10:46:59.447258
Telangana,Large,2024-25,2024,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCTOBER-2024-067407417716ae9-01749704.pdf,2026-03-01T10:47:02.177563
Telangana,Large,2024-25,2024,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-NOVEMBER-2024-0676e9cdbcf5fb1-63951270.pdf,2026-03-01T10:47:04.930945
Telangana,Large,2024-25,2024,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DECEMBER-2024-Upload-on-Hqtr-s-Website-06791cf95e8db81-02196072.pdf,2026-03-01T10:47:07.803780
Telangana,Large,2024-25,2025,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2025-067b5c3cfaf64e0-31212957.pdf,2026-03-01T10:47:10.562905
Telangana,Large,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-FEBRUARY-2025-1-067ff7f3a921f73-15991754.pdf,2026-03-01T10:47:13.346833
Telangana,Large,2025-26,2025,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-1-1-06841891bec9cb1-13676530.pdf,2026-03-01T10:46:18.475713
