state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Tripura,Special,2024-25,2024,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,916.66,,20.78,0.0,,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAY-2024-0666c33f9075022-19084355.pdf,2026-03-01T10:49:10.352848
Tripura,Special,2024-25,2024,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,464.68,-451.98,10.53,4.95,5.58,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-06698ec22dc1715-86301291.pdf,2026-03-01T10:49:12.668834
Tripura,Special,2024-25,2024,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,812.09,347.41,18.41,11.36,7.05,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-066bca55443cdb7-88332174.pdf,2026-03-01T10:49:15.080859
Tripura,Special,2024-25,2024,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,789.09,-23.0,17.89,5.45,12.44,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-066efd63691d803-87867294.pdf,2026-03-01T10:49:17.483809
Tripura,Special,2024-25,2024,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,1172.46,383.37,26.58,3.35,23.23,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2024-067120fbb5aeb88-30500846.pdf,2026-03-01T10:49:19.771666
Tripura,Special,2024-25,2024,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,936.39,-236.07000000000005,21.23,9.08,12.15,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2024-06735933fdd80e3-94409996.pdf,2026-03-01T10:49:22.004751
Tripura,Special,2024-25,2024,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,1099.37,162.9799999999999,24.92,14.97,9.95,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2024-067640291beacc2-57566343.pdf,2026-03-01T10:49:24.293213
Tripura,Special,2024-25,2024,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,1164.01,64.6400000000001,26.39,2.44,23.95,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2024-0678a4ce2d97410-15803460.pdf,2026-03-01T10:49:26.509171
Tripura,Special,2024-25,2025,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,833.77,-330.24,18.9,0.38,18.52,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-067b3291cba83e5-96605028.pdf,2026-03-01T10:49:28.712693
Tripura,Special,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,4.0,826.23,-7.539999999999964,18.73,7.41,11.32,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-067d2d105bc56d7-26706935.pdf,2026-03-01T10:49:31.175096
Tripura,Special,2025-26,2025,4,April,1,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,95.12,95.12,2.07,13.31,-11.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-06825dedc344678-76009859.pdf,2026-03-01T10:48:44.830239
Tripura,Special,2025-26,2025,5,May,2,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,3.4,-91.72,0.07,20.78,-20.71,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-0684ff1164bb963-58476383.pdf,2026-03-01T10:48:47.276688
Tripura,Special,2025-26,2025,6,June,3,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-499.13,-502.53,10.87,10.53,0.34,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2025-0687e2cee5191f6-54284340.pdf,2026-03-01T10:48:49.604053
Tripura,Special,2025-26,2025,7,July,4,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-181.26,317.87,3.95,18.41,-14.46,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068a4453a000341-77834921.pdf,2026-03-01T10:48:51.808439
Tripura,Special,2025-26,2025,8,August,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,5.13,186.39,-0.11,17.89,-18.0,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-068c9460c0cfa21-76536841.pdf,2026-03-01T10:48:54.200525
Tripura,Special,2025-26,2025,9,September,6,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,1066.56,1061.4299999999998,-23.22,26.58,-49.8,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-068f2231e52e883-80861559.pdf,2026-03-01T10:48:56.402260
Tripura,Special,2025-26,2025,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-170.75,-1237.31,3.72,21.23,-17.51,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-0392025-0691ea2c91007e4-85446502.pdf,2026-03-01T10:48:58.490838
Tripura,Special,2025-26,2025,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,-40.66,130.09,0.89,24.92,-24.03,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-0392025-06942919e6d97f1-96072326.pdf,2026-03-01T10:49:00.854374
Tripura,Special,2025-26,2025,12,December,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,282.27,322.92999999999995,6.14,26.39,-20.25,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2025-069678bd5627458-56696978.pdf,2026-03-01T10:49:03.122719
Tripura,Special,2025-26,2026,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,3.0,539.99,257.72,11.75,18.9,-7.15,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-10-MKI-Jan-2026-06996df2be30443-85166948.pdf,2026-03-01T10:49:05.407394
Tripura,Special,2024-25,2024,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-MAY-2024-0666c33f9075022-19084355.pdf,2026-03-01T10:49:10.352848
