state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Uttarakhand,Hill,2024-25,2025,2,February,11,borrowings,Borrowings & Other Liabilities,Receipts,Capital,14250.89,4832.14,,33.91,17.57,16.34,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2025-067d2bb20778be4-63136729.pdf,2026-03-25T07:19:39.799860
Uttarakhand,Hill,2025-26,2026,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,2.0,6225.25,,49.39,22.31,27.08,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-26-0699454944448d3-05353451.pdf,2026-03-01T10:51:34.642291
Uttarakhand,Hill,2024-25,2025,2,February,11,capital_expenditure,Capital Expenditure,Expenditure,Capital,14854.14,7196.2,,48.45,45.78,2.67,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2025-067d2bb20778be4-63136729.pdf,2026-03-25T07:19:39.799860
Uttarakhand,Hill,2025-26,2026,1,January,10,capital_expenditure,Capital Expenditure,Expenditure,Capital,3.0,6437.02,,43.6,43.8,-0.2,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-26-0699454944448d3-05353451.pdf,2026-03-01T10:51:34.642291
Uttarakhand,Hill,2024-25,2025,2,February,11,capital_receipts,Capital Receipts,Receipts,Capital,14375.1,4841.97,,33.68,17.53,16.15,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2025-067d2bb20778be4-63136729.pdf,2026-03-25T07:19:39.799860
Uttarakhand,Hill,2025-26,2026,1,January,10,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-26-0699454944448d3-05353451.pdf,2026-03-01T10:51:34.642291
Uttarakhand,Hill,2024-25,2025,2,February,11,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2025-067d2bb20778be4-63136729.pdf,2026-03-25T07:19:39.799860
Uttarakhand,Hill,2025-26,2026,1,January,10,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-26-0699454944448d3-05353451.pdf,2026-03-01T10:51:34.642291
Uttarakhand,Hill,2024-25,2025,2,February,11,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,19533.05,9513.87,,48.71,57.8,-9.09,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Feb-2025-067d2bb20778be4-63136729.pdf,2026-03-25T07:19:39.799860
Uttarakhand,Hill,2025-26,2026,1,January,10,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Jan-26-0699454944448d3-05353451.pdf,2026-03-01T10:51:34.642291
